nick,sig,date,text,forward,comment,like,topic
花眠故里mt,未认证,2022-01-01,陕西疫情文章闫妮邓超等多位明星为家乡加油，这才是明星该有的样子有你们的爱豆吗#娱乐综艺##明星日常#L花眠故里mt的微博视频​,0,0,0,240
金台法院,微博官方认证,2022-01-01,【新年快乐！#医护人员在防疫一线比心送祝福#】#共克时艰陕西加油#12月31日，在西安曲江新区龙邸新区，“大白”们在防疫一线比心，祝西安市民新年快乐！物业综合部主管申先生用手机记录下了暖心时刻。据了解，医护人员每天要为小区6000名居民做核酸检测，也向他们道一声辛苦了！新年快乐，西安加油！​,0,0,2,-1
范炜,微博个人认证,2022-01-01,【#西安疫情##陕西疫情#】热干面:我好了！烤冷面:我也快好了。肉夹馍:我又……我还没好。烩面:加油！挺住！会好的！葱油拌面:不怕，有我在！刀削面:我们在！加油！担担面:雄起！不放弃！油泼面:努力！我们一直都在！云吞面:不怕，我在！阳春面:加油，我在！沙茶面:加油，我在​,1,1,3,6
大象文娱,微博官方认证,2022-01-01,【#19名西安大学生研发疫情防控小程序#：以前3小时的任务现在只要3分钟】1月1日，陕西西安。19名@西北工业大学的学生共同开发了一款疫情防控小程序。这款小程序12月23日开始研发，目前已上线两个板块，后续的板块还在更新中，预计很快会投入使用。参与开发的王晓哲同学称，小程序为封闭在校的学生带​,0,0,5,33
贵州交通广播,微博官方认证,2022-01-01,【#19名西安大学生研发疫情防控小程序#：以前3小时的任务现在只要3分钟】1月1日，陕西西安。19名@西北工业大学的学生共同开发了一款疫情防控小程序。这款小程序12月23日开始研发，目前已上线两个板块，后续的板块还在更新中，预计很快会投入使用。参与开发的王晓哲同学称，小程序为封闭在校的学生带​,0,0,0,33
东篱的食事集,微博个人认证,2022-01-01,🏮2022年你的新年愿望是什么？（大家可以写下自己的愿望哦）第一件事我已经完成了✅为社会做力所能及的事。谢谢那些守护我们负重前行的人，作为陕西女娃做做自己能做的事情。回来西安没多久就疫情了，真的感受到了来自邻里来自这个城市的温暖。第二件事带家人出去旅游第三件事继续与篱笆写信​,40,71,649,1
从心开始200182,未认证,2022-01-01,新年的第一个愿望：愿疫情早点结束！亲人能早一天团聚！陕西加油！西安加油！兴平加油！🙏🙏🙏2兴平​,0,0,0,1
安康政法,微博官方认证,2022-01-01,【#19名西安大学生研发疫情防控小程序#：以前3小时的任务现在只要3分钟】1月1日，陕西西安。19名@西北工业大学的学生共同开发了一款疫情防控小程序。这款小程序12月23日开始研发，目前已上线两个板块，后续的板块还在更新中，预计很快会投入使用。参与开发的王晓哲同学称，小程序为封闭在校的学生带​,0,5,11,33
土农伙,微博个人认证,2022-01-01,【#19名西安大学生研发疫情防控小程序#：以前3小时的任务现在只要3分钟】1月1日，陕西西安。19名@西北工业大学的学生共同开发了一款疫情防控小程序。这款小程序12月23日开始研发，目前已上线两个板块，后续的板块还在更新中，预计很快会投入使用。参与开发的王晓哲同学称，小程序为封闭在校的学生带​,0,0,1,33
风月山作境,未认证,2022-01-01,【今天我出镜】陕西商洛市商州区王苗苗：积极发挥片长作用守牢疫情防控关口O【今天我出镜】陕西商洛市商州区王苗苗：积极发挥片长作用守牢疫情防控关口​,0,0,0,138
乔大爷迈,微博个人认证,2022-01-01,【#19名西安大学生研发疫情防控小程序#：以前3小时的任务现在只要3分钟】1月1日，陕西西安。19名@西北工业大学的学生共同开发了一款疫情防控小程序。这款小程序12月23日开始研发，目前已上线两个板块，后续的板块还在更新中，预计很快会投入使用。参与开发的王晓哲同学称，小程序为封闭在校的学生带​,0,1,1,33
青岛市清大东方消防培训职业学校,未认证,2022-01-01,陕西本轮疫情确诊病例已治愈7人，目前本土确诊病例中共有危重型2例重型11例。2青岛​,0,0,2,-1
风推一叶舟,未认证,2022-01-01,陕西西安这次疫情，是不是2015年曾仕强老先生预测的那个？！​,1,4,3,-1
大唐微记录,未认证,2022-01-01,#西安疫情#12月9日0时-31日24时，西安市累计报告本土确诊病例1451例，其中雁塔区588例。信息来源：陕西网官方抖音号L西安微记录的微博视频​,0,0,0,-1
逍遥燕赤霞,未认证,2022-01-01,@胡锡进@中国新闻网@华商报@凤凰网@环球杂志@人民日报海外版-海外网胡导看下评论，西安人民乃至全国人民意见有多大，西安在抗疫方面差强人意，疫情没控制不说，整个西安市民不聊生怨声载道，希望国家层面能出来接管，还西安市民一个安全满意的西安市，西安市甚至陕西省真没能力处理这摊乱局了。,0,0,1,30
昆明富民发布,微博官方认证,2022-01-01,【#陕西省人民医院医疗服务全面停止#】记者从陕西省人民医院获悉，根据国务院联防联控机制派陕西工作组和陕西省疫情防控指挥部指令，该院被确定为新冠肺炎定点收治医院，从2022年1月1日17时30分起，该院门诊、急诊、发热门诊全面停止医疗服务，启用时间另行通知。（央视）​​​,0,0,0,64
gsww难民,未认证,2022-01-01,"#西安疫情#实名举报陕西高级法院里的黑恶势力,颠倒黑白、巧取豪夺、鱼目混珠、残害百姓",0,0,0,-1
媒介360,微博官方认证,2022-01-01,【#19名西安大学生研发疫情防控小程序#】1月1日，陕西西安。19名西北工业大学学生共同开发了一款疫情防控小程序。这款小程序12月23日开始研发，目前已上线两个板块，后续的板块还在更新中，预计很快会投入使用。参与开发的王晓哲同学称，小程序为封闭在校的学生带来了便利，希望更多高校的学生借此机​,2,1,3,33
