Topic,Count,话题,Name,Representation,Representative_Docs
-1,4271,疫情防控,-1_防控_疫情_成都_隔离,"['防控', '疫情', '成都', '隔离', '本土', '新增', '城市', '核酸', '无症状', '确诊']","['成都 月 20 日 新增 本土 无症状 感染者 例 现有 高风险 区 月 21 日 成都市 卫健委 发布 消息 月 20 日 24 时 成都市 新增 本土 确诊 病例 新增 本土 无症状 感染者 例 闭环 管理 重点 人员 社会活动 轨迹 成都市 新冠 肺炎 疫情 日常 通报 月 20 日 24 时 成都市 新增 本土 确诊 病例 新增 本土 无症状 感染者 \u200b', '疫情 观察 四川 新增 本土 确诊 48 例 无症状 47 例 月 18 日 24 时 四川省 新冠 肺炎 疫情 最新 情况 新增 本土 确诊 病例 48 例 外省 返川 闭环 转运 人员 例 内江 15 例 泸州 例 宜宾 例 27 例由 无症状 感染者 转为 确诊 病例 成都 例 宜宾 22 例 内江 例 泸州 例 新增 本土 无症状 感染者 47 例 \u200b', '四川 新增 40 \u200b 例 确诊 26 例 无症状 健康 四川 官微 消息 月 24 日 24 时 四川省 新冠 肺炎 疫情 最新 情况 新增 本土 确诊 病例 40 例 外省 返川 闭环 转运 人员 15 例 成都 例 遂宁 10 例 内江 例 资阳 例 11 例由 无症状 感染者 转为 确诊 病例 外省 返川 闭环 转运 人员 例 成都 例 内江 例 泸州 例 阿坝 \u200b']"
0,325,,0_太难_高温_限电_停电,"['太难', '高温', '限电', '停电', '干旱', '平平安安', '平安', '真的', '多灾多难', '缺电']","['四川 太难 高温 限电 疫情 地震 想 杀 2022 \u200b', '四川 太难 挺 难 高温 限电 疫情 地震 \u200b', '四川 太难 高温 限电 疫情 地震 愿 平安 ?']"
1,273,,1_电话_这段_接起_接听,"['电话', '这段', '接起', '接听', '无人', '对话', '指挥', '录音', '当班', '水电站']","['接起 电话 这段 对话 感动 四川 泸定 发生 6.8 级 地震 时 大渡河 大岗山 水电站 震感 危急关头 当班 值长 徐博海 选择 坚守 这段 录音 记录 地震 瞬间 生死 抉择 接起 电话 电话 无人 接听 应急 指挥 中心 水电站 现 \u200b', '接起 电话 这段 对话 感动 四川 泸定 发生 6.8 级 地震 时 大渡河 大岗山 水电站 震感 危急关头 当班 值长 徐博海 选择 坚守 这段 录音 记录 地震 瞬间 生死 抉择 接起 电话 电话 无人 接听 应急 指挥 中心 水电站 现 \u200b', '接起 电话 这段 对话 感动 四川 泸定 发生 6.8 级 地震 时 大渡河 大岗山 水电站 震感 危急关头 当班 值长 徐博海 选择 坚守 这段 录音 记录 地震 瞬间 生死 抉择 接起 电话 电话 无人 接听 应急 指挥 中心 水电站 现 \u200b']"
2,230,疫情解封,2_结束_解封_赶紧_明天,"['结束', '解封', '赶紧', '明天', '真的', '希望', '早点', '啥时候', '快点', '疫情']","['四川 B 疫情 结束 \u200b', '小厨 问 啥时候 解禁 只能 回答 成都 月 23 日 解封 写 成都 管理 月 25 日前 解封 悻悻 说 希望 算错 没错 四川 疫情 解封 结束 最少 40 天 成都 提前 解封 城市 换算', '小厨 问 啥时候 解禁 只能 回答 成都 月 23 日 解封 写 成都 管理 月 25 日前 解封 悻悻 说 希望 算错 没错 四川 疫情 解封 结束 最少 40 天 成都 提前 解封 城市 换算']"
3,178,变异毒株,3_奥密克戎_内江_变异_成都,"['奥密克戎', '内江', '变异', '成都', '宠物', '疫情', '遂宁', '天窗', '发现', '解封']","['内江 发现 奥密克戎 变异 株 ## 内江 疫情 防控 ## 四川 疫情', '内江 发现 奥密克戎 变异 株 ## 内江 疫情 防控 ## 四川 疫情', '四川 疫情 ## 内江 发现 奥密克戎 变异 株 ## 内江 疫情 防控 ? ? ?']"
4,167,,4_王鹤_伊犁_四川话_家乡,"['王鹤', '伊犁', '四川话', '家乡', '加油', '关注', '雄起', 'dylan', '话题', '希望']","['王鹤 棣 四川话 家乡 加油 关注 伊犁 疫情 加油', '王鹤 棣 四川话 家乡 加油 四川 加油 关注 伊犁 疫情 \u200b', '王鹤 棣 四川话 家乡 加油 四川 加油 关注 伊犁 疫情 \u200b']"
5,156,,5_视频_磨西_微博_金山,"['视频', '磨西', '微博', '金山', '日照', '快手', '古镇', '雪山', '烈度', '古道']","['愿 安好 泸定 磨西镇 日照 金山 月 11 日 四川 泸定 磨西镇 日照 金山 景象 巍峨 雪山 阳光 照射 下泛 金色 光芒 网友 愿 日后 平安 顺遂 泸定 地震 头七祭 L 四川 观察 微博 视频 \u200b', '愿 安好 泸定 磨西镇 日照 金山 月 11 日 四川 泸定 磨西镇 日照 金山 景象 巍峨 雪山 阳光 照射 下泛 金色 光芒 网友 愿 日后 平安 顺遂 泸定 地震 头七祭 L 四川 观察 微博 视频 \u200b', '愿 安好 泸定 磨西镇 日照 金山 月 11 日 四川 泸定 磨西镇 日照 金山 景象 巍峨 雪山 阳光 照射 下泛 金色 光芒 网友 愿 日后 平安 顺遂 泸定 地震 头七祭 L 四川 观察 微博 视频 \u200b \u200b \u200b \u200b']"
6,146,,6_车身_工人_几秒_银猛,"['车身', '工人', '几秒', '银猛', '踩油门', '大面积', '杨光', '山体', '挺身而出', '修筑']","['地震 时 开车 挡 石救 日 四川 泸定 发生 6.8 级 地震 震中 山体 发生 滑坡 工人 正 修筑 堡 坎 危急关头 驾驶 水泥 罐车 杨光 银猛 踩油门 车身 挡 前方 位 工人 赢得 逃生 时间 几秒 山体 大面积 垮塌 车身 损毁 杨光 银 左臂 头部 砸 受伤 谢谢 挺身而出 平凡 英雄 \u200b', '地震 时 开车 挡 石救 日 四川 泸定 发生 6.8 级 地震 震中 山体 发生 滑坡 工人 正 修筑 堡 坎 危急关头 驾驶 水泥 罐车 杨光 银猛 踩油门 车身 挡 前方 位 工人 赢得 逃生 时间 几秒 山体 大面积 垮塌 车身 损毁 杨光 银 左臂 头部 砸 受伤 谢谢 挺身而出 平凡 英雄 \u200b', '地震 时 开车 挡 石救 日 四川 泸定 发生 6.8 级 地震 震中 山体 发生 滑坡 工人 正 修筑 堡 坎 危急关头 驾驶 水泥 罐车 杨光 银猛 踩油门 车身 挡 前方 位 工人 赢得 逃生 时间 几秒 山体 大面积 垮塌 车身 损毁 杨光 银 左臂 头部 砸 受伤 谢谢 挺身而出 平凡 英雄 \u200b']"
7,141,,7_好人_遇见_甘宇时_电力公司,"['好人', '遇见', '甘宇时', '电力公司', '倪太高救', '面前', '永和', '被淹', '此前', '送医']","['甘宇 获救 哭 说 好人 好人 遇见 好人 月 21 日 四川 泸定 地震 中失联 17 天 甘宇 老乡 倪太高救 家中 倪太高 讲述 找到 甘宇时 甘宇 面前 大哭 说 遇见 好人 甘宇 送医 生命 体征 平稳 此前 泸定 地震 电力公司 职工 罗 永和 甘宇 坚守 电站 下游 村庄 被淹 \u200b', '甘宇 获救 哭 说 好人 好人 遇见 好人 月 21 日 四川 泸定 地震 中失联 17 天 甘宇 老乡 倪太高救 家中 倪太高 讲述 找到 甘宇时 甘宇 面前 大哭 说 遇见 好人 甘宇 送医 生命 体征 平稳 此前 泸定 地震 电力公司 职工 罗 永和 甘宇 坚守 电站 下游 村庄 被淹 \u200b', '甘宇 获救 哭 说 好人 好人 遇见 好人 月 21 日 四川 泸定 地震 中失联 17 天 甘宇 老乡 倪太高救 家中 倪太高 讲述 找到 甘宇时 甘宇 面前 大哭 说 遇见 好人 甘宇 送医 生命 体征 平稳 此前 泸定 地震 电力公司 职工 罗 永和 甘宇 坚守 电站 下游 村庄 被淹 \u200b']"
8,131,,8_开学_学校_放假_封校,"['开学', '学校', '放假', '封校', '大学', '艺术', '学生', '学院', '延迟', '回去']","['四川 高校 延期 开学 希望 快 开学 国庆节 开学 假期 疫情 更 \u200b', '四川 电影 电视 学院 成都 大学 开学 大学 开学 大学 开学 大学 开学 大学 开学 大学 开学 幼儿园 小学 高中 开学 总 大学 拖 好多 突发 疫情 回 家 疫情 好不容易 轻 想着 快点 开学 学校 开 真 国庆节 放假 \u200b', '四川 疫情 太 开学']"
