nick,sig,date,text,forward,comment,like,情感倾向
叉亦勾勾勾勾,未认证,2022年01月,#春晚#押题押中了就是说估计离包饺子和生三胎不远了​,0,0,0,2
萧亚甜,未认证,2022年01月,今年春节：生孩子，你怎么还不结婚，三胎，疫情​,0,0,1,2
露葵葵葵丶,未认证,2022年01月,这么在推行三胎的大局势下确实该当狗黑，因为无子郭嘉都觉得不行​,0,0,1,2
噗味糖,未认证,2022年01月,但凡现实主动点已经三胎了（已成年,0,0,0,1
我可以和你抢鼠标吗,微博个人认证,2022年01月,//@川渝美丽女明星-:在酒店拉开窗帘鞠躬、飞机上接ss的信、在ss面前为了突出自己吼队友、在机场和ss甜蜜互动、马嘉祺这个媚ss湳的人设什么时候能被撕碎啊，全世界只有屏幕前的马夫不愿意相信吧。祝福马嘉祺和职高ss五年抱仨，早日退团争做三胎奶爸。,0,0,0,0
格兰芬多没有眼泪,未认证,2022年01月,我觉得大张伟那个脱口秀和姜昆的相声都蛮好看，是我今晚唯二笑出来的，大张伟那个就是特别不知所云，那个有多久比地长天久谐音梗属实给我莫名其妙整笑了，姜昆那个相声很高雅一些低级的梗我以为会说猴赛雷都没有，是我和我妈聚精会神一起看完的，最后那个乳猴迎春和只此青绿也蛮好看，感觉蛮有大国风范​展开c,0,0,0,0
当黛代玉咩,未认证,2022年01月,#春晚#总结一下我群今晚围观春晚的部分笑点——问题来了，什么时代感？高考作文（第一个小品结束前）还不如让邓超再蹦跶一会儿/我宁愿看邓超唱KTV山的那边是蓝精灵大象也要三胎吗？隔空打拳为什么不请吴京来？斐妈衣服真好看（看到价格）那算了，也没那么好看刘涛脸红了，她一定是托林俊杰剃光​展开c,1,4,9,2
泡芙五花肉,未认证,2022年01月,我可以三胎,0,0,0,0
大不溜啊大不溜,未认证,2022年01月,#春晚#今年春晚竟然没有鼓励三胎和就地过年的小品，预测失败​,0,5,0,2
atan0413,未认证,2022年01月,#春晚#待会儿是不是要有催三胎的小品了​,0,0,0,1
壹峰书,未认证,2022年01月,虎年三胎,0,0,0,0
知喜知乐知之知道,未认证,2022年01月,诶？目前为止没有出现生三胎的小品诶！！​,1,0,0,2
IAM镇镇宝塔,未认证,2022年01月,太帅了太帅了太帅了//@笔筒不要理:太帅了生三胎中😭😭😭,0,0,0,2
DigitalSonic,未认证,2022年01月,下午和家里领导开玩笑，今晚春晚会有一个抗疫题材的小品，还有一个鼓励生三胎的小品。这会儿来了第一个​,0,0,5,0
十七句话,未认证,2022年01月,#春晚##春晚还得是小朋友#我怎么觉得今年小朋友们这么出彩，是想侧面敲打我们生二胎三胎嚒，哈哈​,0,0,2,0
知食·分子,微博个人认证,2022年01月,#春晚##春晚还得是小朋友#今晚的节目，明显人多的比人少的好看，小朋友的比大人们的好看，果然是在变相推广三胎政策可惜，一切都被小撒搅局2合肥·信泰国际花园​,0,0,5,2
呼伦贝尔市消防救援支队,微博官方认证,2022年01月,【#小老虎除夕也吃上年夜饭#】哈尔滨东北虎林园三胞胎小老虎正在全球征名！这三只虎宝宝现在已经7个月大了，正是能吃长身体的时候～@领克汽车和Ta的车主们关注到了这三个可爱的小家伙，承包了他们全年的口粮！今晚，小老虎们的名字将揭晓！虎宝宝叫啥名好？L央视新闻的微博视频​​​​展开c,0,0,1,0
moja_-喵加,微博个人认证,2022年01月,棉花美娃娃新年假期#汇总#连续更新，第二天（2.1）*整理时暂没找到具体时间就分入其他时间*一个人能量有限如有遗漏欢迎补充！*如有错误感谢大家指出—————————2.1正月初一—————————0:00Ritmo直炸微博正文虎福彩微博正文蔷薇小零​展开c,5,66,110,0
SinLiX,未认证,2022年01月,我妈问为啥今年春晚有小孩子的节目这么多我：因为要暗示你生三胎我妈：太可怕了（图文无关​,0,1,2,2
喜欢自由自在的小茶,未认证,2022年01月,#春晚##春晚还得是小朋友#我悟了！今年小朋友们这么出彩，是想侧面敲打我们生三胎吗，让我们看看孩子一代比一代强？​,0,0,5,0
云落洛洛洛,未认证,2022年01月,//@亲爱的肖邦小姐-:卧槽浅转一下//@碳烤屾牛乳:三胎给你飞出来,0,0,0,0
九章88,未认证,2022年01月,#春晚#今年春晚改名叫《倡导三胎大型文艺汇演》吧​,0,0,0,0
温哥华汉堡,未认证,2022年01月,//@梨树洲:老可快回来生三胎,0,0,0,0
DDDDlife,未认证,2022年01月,春晚的娃娃们怎么都那么可爱啊，我丢。好可爱好喜欢这些娃娃们啊。那个小老虎的武术表演好好看。用娃娃们来刺激大家生三胎吗？​,0,0,0,0
木头木头喵,未认证,2022年01月,过年就是参加爸妈单位的年会玩六人五足赢得了第一名回外婆家担当幼儿园园长三岁的思思一直都只愿意她妈妈喂饭我到了以后第一顿饭就让我喂她吃叮叮当当是一对龙凤胎叮叮是哥哥当当是妹妹也都已经三岁啦但是我和他俩还是第一次见面当当真的是“小人精”我换条裤子她就立马夸我姐姐裤子怎​展开c,0,4,7,0
小恶魔土豆老师,未认证,2022年01月,今年的舞蹈类节目里这么多孩子，大象都在生孩子，是在响应三胎政策么。​,0,0,0,0
股市点金DK,微博个人认证,2022年01月,看了会春晚，一大批节目都在凸显“小孩子”。这是在力推大家跟紧政策，提倡生育。利好节后“三胎概念”。​,0,0,5,0
笔筒不要理,未认证,2022年01月,太帅了生三胎中😭😭😭,3,1,0,0
我只是一只布丁狗,未认证,2022年01月,李思思：孩子们可不可爱呀？我妈：让你生三胎，看看还可不可爱。​,0,0,0,2
一只猫还会瞎琢磨,未认证,2022年01月,可口可乐今年春节的广告是5只老虎，爸爸妈妈和仨娃…连饮料广告都劝你生三胎，还能说啥呢​,0,0,0,0
从宇宙黑洞飞出火凤凰,微博个人认证,2022年01月,【新闻联播国内快讯】今天（1月31日），国家航天局探月与航天工程中心发布了天问一号探测器最新回传的2个视频，视频显示环绕器及舱外关键设备状态良好。天问一号已在轨运行557天，祝融号火星车累计行驶1524米，共回传原始数据约600GB。北京冬奥会赛前最后一轮场馆电力设备全要素测试今天（1月31日）​展开c,0,0,1,0
