nick,sig,date,text,forward,comment,like,情感倾向
Adam和她的狗,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#大过年的想起来就生气该死的董狗男马上给我死啊别活到2022年希望这个畜生能被除夕夜的鞭炮炸死希望姐姐能赶紧找到家人回家过年​,1,0,23,2
狗不理小馄饨,微博个人认证,2022年01月,//@喝咖啡的猫大人:一语道破//@李天飞大话西游:哈哈哈哈哈//@陨石盆栽:且到现在这破春晚也丰县味很浓。//@小刘今年上南大:#官方通报徐州丰县生育八孩女子情况#我要笑死了。丰县味太浓了。会说话就多说点,0,0,0,2
BABA嵐川,未认证,2022年01月,听春晚的感想只有：生育率这么低都是你们的福报​,1,0,16,1
王皮哔哔叭叭,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#徐州政府，很想过新年吧你敢过吗​,0,0,32,0
干国王,未认证,2022年01月,//@张捷观察-谁是谁非任评说:再把此文顶起来，在B站等地，都被和谐了。此文对理解计划生育后的人口结构，为啥生育减少和现在的教改政策，是有好处的。,0,0,0,0
穿山越岭的瓢虫,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#我只是觉得连发声都要这么卑微的当下…………………​,0,0,0,2
星月辉映A-A,未认证,2022年01月,#春节快乐水大赏#呵呵#官方通报徐州丰县生育八孩女子情况##被铁链子拴着的八个孩子的妈妈#,0,0,0,0
你是来打架的,未认证,2022年01月,//@李天飞大话西游:哈哈哈哈哈//@陨石盆栽:且到现在这破春晚也丰县味很浓。//@小刘今年上南大:#官方通报徐州丰县生育八孩女子情况#我要笑死了。丰县味太浓了。会说话就多说点,0,0,0,2
退坑的茨木玩家,未认证,2022年01月,//@豌豆一枚501:#官方通报徐州丰县生育八孩女子情况##八孩##吃出春节仪式感##官方通报生育八孩女子情况#//@准备娶了哲也:#官方通报徐州丰县生育八孩女子情况#查看图片//@鶴九Tsuruku://@汉唐三三:转发微博,0,0,0,0
乐意李88888,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#她重复地说：这个世界不要我了。他们说：快走，这是个疯子。她8个孩子：我们对她已经很好了，经常给她送饭。困住她的男子说：哪有什么男款女款，穿的保暖就行（指着爱心人士寄给女的冬款新衣服，而如今穿在自己身上的衣服说）。孩子顺其自然，要个十几个挺好​展开c,70,3,558,2
豌豆一枚501,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况##八孩##吃出春节仪式感##官方通报生育八孩女子情况#//@准备娶了哲也:#官方通报徐州丰县生育八孩女子情况#查看图片//@鶴九Tsuruku://@汉唐三三:转发微博,12,3,12,0
鲨瓜小糕,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#昨日是她，明日是我们，只差一个闷棍​,0,1,0,2
空心菜_2021,未认证,2022年01月,#春节快乐水大赏##吃出春节仪式感##官方通报徐州丰县生育八孩女子情况##徐州##八个孩子妈妈##丰县##官方通报徐州丰县生育八孩女子情况##江苏丰县回应八孩母亲被拴破屋##官方救治江苏八孩母亲##八孩#,0,0,0,0
淮安陶白,未认证,2022年01月,//@张捷观察-谁是谁非任评说:再把此文顶起来，在B站等地，都被和谐了。此文对理解计划生育后的人口结构，为啥生育减少和现在的教改政策，是有好处的。,0,0,0,0
小令Celine,未认证,2022年01月,//@燕无痕:#官方通报徐州丰县生育八孩女子情况##丰县将对失职渎职工作人员依法依规处理#这是帮什么畜生？,0,0,0,2
呐年樱花落心碎了,未认证,2022年01月,//@结犀:#官方通报徐州丰县生育八孩女子情况##徐州丰县生育八孩女子##江苏丰县回应八孩母亲被拴破屋#,0,0,0,2
南京中院违法,未认证,2022年01月,持续曝光南京中院三法官滥用职权，违法违纪，拒不公布判决书#中纪监察部##转发+关注#@人民日报@司马南查看图片//@热心久要发://@黑旋风20:法官贪法腐败南京，黑暗至深@中国政府网这是要腐败到底吗？@凯雷彻查#如何评价一加10Pro##央行多印2万亿能提高生育率吗##为什么这些年情景喜剧越来越少了#,255,32,39,2
小麦玉米的梦,未认证,2022年01月,//@王人平:20到30岁，一个人的心智还不完全成熟，经历还不够丰富，对自己和自己想要的并不完全了解，但几乎人生最重要的几个选择，比如工作、婚姻、伴侣、生育等，都是这个阶段做出的，很容易导致各种问题出现。也许，我们需要多一点耐心，给自己更长一点时间来认识自己，看清世界，再做选择。,0,0,0,2
陈林夕的似水流年,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#不光要调查这一事件，对该县的内部情况要做一个大调查，如果有其他相同遭遇女子，请解救！！！正义可能迟到，但是请不要让他再缺席了。失职官员，开除党籍，有黑势力保护伞者严惩严办！！​,0,0,0,2
_Yusane,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#看来徐州不太行呢，只有一位妈妈生得出来八个宝宝，随便一搜索就啥也没有，低估徐州啦​,2,5,45,2
伊查姆-叽,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#春晚。。。我的母语是无语，希望她今天穿得不要那么单薄​,0,0,0,1
瓜田仙子-77,未认证,2022年01月,//@wohowho:#官方通报徐州丰县生育八孩女子情况#//@MAERD-7:转发微博,0,0,0,0
天天傻乐_53939,未认证,2022年01月,//@玫瑰不是冰:#官方通报徐州丰县生育八孩女子情况#她的牙齿怎么没的，女的结扎失败男的结扎不行?只有一个措施了是吗？,0,0,0,2
笨笨地问,未认证,2022年01月,//@恍若世外桃源:请给我们一个合理的答复，认真一些好吗？这里是中国，我希望这是一个女孩走夜路不带心慌的国家。#官方通报徐州丰县生育八孩女子情况#,0,0,0,0
我是小小锦鲤呀,未认证,2022年01月,#官方通报徐州丰县生育八孩女子情况#//@寻找灵感:继离婚冷静期后，徐州又创造性地提出了“收留”,1,0,20,0
小杜的学思修,未认证,2022年01月,今年的春节只是个开端，以后催婚催育有增无减，回忆一下计划生育的力度。​,0,0,0,0
uig666,未认证,2022年01月,#虎年第一条微博##官方通报徐州丰县生育八孩女子情况##拯救徐州母亲##还得是沈腾马丽#就算过年也别想蒙混过去，一直关注！​,1,0,30,0
我能知道嘞,未认证,2022年01月,#春晚#春晚自我知道除夕看春晚，我爸第一次换台……(吐槽下;这些节目能过审，各位领导都不看看吗？你们觉得好看吗？搞笑吗？好听吗？想催婚生育人民群众又管不了，你们可以演但是你们这每个节目让人尴尬，就尬演呢？我现在就想知道今年春晚出了多少钱？这么让人无聊！)​,0,0,7,2
全世界都催wo长大,未认证,2022年01月,#徐州八个孩子的母亲##官方通报徐州丰县生育八孩女子情况#,1,0,5,0
