UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,Language
𝚌𝚘𝚞𝚗𝚝𝚎𝚛𝚏𝚎𝚒𝚝 𝚌𝚞𝚕𝚝𝚞𝚛𝚎,@counterfeitcvlt,2023-10-01T23:25:45.000Z,"𝚌𝚘𝚞𝚗𝚝𝚎𝚛𝚏𝚎𝚒𝚝 𝚌𝚞𝚕𝚝𝚞𝚛𝚎
@counterfeitcvlt
·
Oct 1","// CARD 13 REVEAL //

COUNTERFEIT CARDS
SERIES 00 : CARD 13

Jordi Gandul // 
@jordigandul
‘THE GATEKEEPER’

// ART ON BITCOIN //",,30,50,105,['https://pbs.twimg.com/tweet_video_thumb/F7ZAtw4WQAAt-_u.jpg'],https://twitter.com/counterfeitcvlt/status/1708624271243612548,en
BRANDO,@8R4NDO,2023-10-01T23:31:47.000Z,"BRANDO
@8R4NDO
·
Oct 1","Ethereum blows past $1,700 

Bitcoin blows past $28,000 ",👀,24,8,116,[],https://twitter.com/8R4NDO/status/1708625789758095407,en
𝙍𝙪𝙨𝙨𝙚𝙡𝙡_𝙈𝙘,@_Russell_Mc,2023-10-01T22:54:58.000Z,"𝙍𝙪𝙨𝙨𝙚𝙡𝙡_𝙈𝙘
@_Russell_Mc
·
Oct 1","#Pumptober has started !  
#Bitcoin #SwissBorg app",🔥 🚀 🧡,2,4,46,['https://pbs.twimg.com/media/F7Y5rLMW8AACDWW?format=jpg&name=small'],https://twitter.com/_Russell_Mc/status/1708616524611670047,en
Sminem,@thesminemverse,2023-10-01T23:05:25.000Z,"Sminem
@thesminemverse
·
Oct 1","lets go!
#Ethereum #Bitcoin $OGSM #HarryPotterObamaSonic10Inu",,4,5,32,['https://pbs.twimg.com/media/F7Y75XkWkAAxo4q?format=jpg&name=small'],https://twitter.com/thesminemverse/status/1708619153005773126,en
CryptoTyro,@Cryptotyro2022,2023-10-01T23:02:36.000Z,"CryptoTyro
@Cryptotyro2022
·
Oct 1","Bitcoin up. Solana up. 
@MadLadsNFT
 up. 

Today is a good day.",🎒,2,2,22,['https://pbs.twimg.com/tweet_video_thumb/F7Y7aUjXkAEPqCO.jpg'],https://twitter.com/Cryptotyro2022/status/1708618443778347214,en
Emergent Perspective,@_emergent_,2023-10-01T23:44:28.000Z,"Emergent Perspective
@_emergent_
·
Oct 1","Elon with the Orange Pill!  
#Bitcoin",🍊 💊,3,6,25,['https://pbs.twimg.com/media/F7ZE_6KWUAAy47t?format=jpg&name=small'],https://twitter.com/_emergent_/status/1708628979479896421,en
Tim,@Timothy36660780,2023-10-01T22:45:50.000Z,"Tim
@Timothy36660780
·
Oct 1","Asia is waking up. Big buys starting. #Bitcoin up $1k in few minutes, UPTOBER confirmed
 alts season start soon
$MONG time is coming",,1,10,27,['https://pbs.twimg.com/media/F7Y3lUtbcAA7Ebv?format=jpg&name=900x900'],https://twitter.com/Timothy36660780/status/1708614225281818638,en
c$TACk$.Eth,@AllegianceSC,2023-10-01T23:11:52.000Z,"c$TACk$.Eth
@AllegianceSC
·
Oct 1
·","#NewNFTProfilePic NFT by 
@CarryTheKey
 Ape #2018 Diamond Fur #Mutation by 
@OddballRandall
 #BitApes #Bitcoin #blockchain 
@BitApes_btc",👑,5,9,28,['https://pbs.twimg.com/media/F7Y8Z0TW8AAJCtu?format=jpg&name=small'],https://twitter.com/AllegianceSC/status/1708620776524427666,en
@Paddy_Stash(TheNextCryptoGem),@Paddy_Stash,2023-10-01T22:53:32.000Z,"@Paddy_Stash(TheNextCryptoGem)
@Paddy_Stash
·
Oct 1","Looks like it'll be a fun Monday! #uptober begins 
$BTC #Bitcoin",💎 💎 🐉 👀 👀,5,9,50,['https://pbs.twimg.com/media/F7Y5QR6XgAAeGzi?format=jpg&name=small'],https://twitter.com/Paddy_Stash/status/1708616162051809333,en
Farmer Brown,@FarmerBrownDeFi,2023-10-01T23:57:24.000Z,"Farmer Brown
@FarmerBrownDeFi
·
Oct 1","yes, $bitcoin is going to $1",,7,18,73,[],https://twitter.com/FarmerBrownDeFi/status/1708632236692783473,en
Yazan,@YazanXBT,2023-10-01T23:36:22.000Z,"Yazan
@YazanXBT
·
Oct 1",BREAKING: BlackRock ETF will be approved and Elizabeth Warren's buy orders is the reason why Bitcoin is pumping.,,9,14,98,[],https://twitter.com/YazanXBT/status/1708626942864343104,en
Alpha Whale Crypto,@AlphaWhale_,2023-10-01T23:05:30.000Z,"Alpha Whale Crypto
@AlphaWhale_
·
Oct 1","This Not Easy Money But Smart Money. 
Follow Whales to Be  Gainer of Future 
#Bitcoin #Crypto #Btc",🦾,3,4,53,['https://pbs.twimg.com/media/F7Y8FVyXkAAYHpO?format=jpg&name=small'],https://twitter.com/AlphaWhale_/status/1708619176519008478,en
Kevin Svenson,@KevinSvenson_,2023-10-01T23:37:21.000Z,"Kevin Svenson
@KevinSvenson_
·
Oct 1","Nov 29th, 2022 - ""The Bottom is in""  
#Bitcoin #BTC   

My best bottom call of all time ",🏆,22,25,229,['https://pbs.twimg.com/profile_images/1683618935948582914/ByGOtcua_mini.jpg'],https://twitter.com/KevinSvenson_/status/1708627188155572339,en
MDX,@MDXcrypto,2023-10-01T23:25:06.000Z,"MDX
@MDXcrypto
·
Oct 1",My predictions make people millionaires  #Bitcoin,🔮,21,8,82,"['https://pbs.twimg.com/media/F7ZAXYIWYAEbCUq?format=jpg&name=small', 'https://pbs.twimg.com/media/F7ZAYG-XcAAc3TT?format=jpg&name=small']",https://twitter.com/MDXcrypto/status/1708624105522475518,en
₿ Didi Taihuttu ₿ ALLIN,@Diditaihuttu,2023-10-01T23:09:49.000Z,"₿ Didi Taihuttu ₿ ALLIN
@Diditaihuttu
·
Oct 1",That’s a nice little #bitcoin pump there . Can we now please break the 200 WMA ,💥 🚀,9,7,50,['https://pbs.twimg.com/media/F7Y9EnnXAAAAJmv?format=jpg&name=900x900'],https://twitter.com/Diditaihuttu/status/1708620262818599034,en
Ben Justman,@BenJustman,2023-10-01T23:26:42.000Z,"Ben Justman
@BenJustman
·
Oct 1","America is BROKE.
Americans are BROKE.
Even the Banks are BROKE.

Do #Bitcoin",,13,7,150,[],https://twitter.com/BenJustman/status/1708624508025012656,en
Shire | BritishHODL=SCAMMER(PINNED POST),@ShireH0DL,2023-10-01T23:28:01.000Z,"Shire | BritishHODL=SCAMMER(PINNED POST)
@ShireH0DL
·
Oct 1","Director of Coinbase fuding bitcoin?

They hate it. Or they were trying too open up some liquidity for someone.

Dishonest either way.",,2,3,20,"['https://pbs.twimg.com/media/F7ZBIFfXIAAD7DT?format=jpg&name=360x360', 'https://pbs.twimg.com/media/F7ZBKB_XEAAz-G9?format=jpg&name=small']",https://twitter.com/ShireH0DL/status/1708624842499465527,en
Neil Jacobs,@NeilJacobs,2023-10-01T23:58:33.000Z,"Neil Jacobs
@NeilJacobs
·
Oct 1","What’s a scam that’s so normalized that we don’t even realize it’s a scam anymore?

Elon Musk: “Fiat currency.” 



#bitcoin",😮,56,68,723,[],https://twitter.com/NeilJacobs/status/1708632526875451657,en
CateCoin,@catecoin,2023-10-01T23:35:02.000Z,"CateCoin
@catecoin
·
Oct 1","Unlike #Bitcoin, I(#Catecoin)wasn't born famous.
I(#Catecoin) promise myself and #Catearmy to work hard in order to achieve success.

#Crypto #ETH #BTC #cryptocurrency #meme #Web3 #1000xgem #crypto",🐱 🐱,28,121,334,['https://pbs.twimg.com/media/F7ZC1ujasAADO_T?format=jpg&name=small'],https://twitter.com/catecoin/status/1708626606414303660,en
Greeny,@greeny_eth,2023-10-01T22:47:12.000Z,"Greeny
@greeny_eth
·
Oct 1",Bitcoin back over $28k,,4,1,19,[],https://twitter.com/greeny_eth/status/1708614571039301867,en
